model,seed,true_class,predicted_class,count
DINOv2,89,06_MUCOSA,07_ADIPOSE,1
DINOv2,89,06_MUCOSA,08_EMPTY,0
DINOv2,89,07_ADIPOSE,01_TUMOR,1
DINOv2,89,07_ADIPOSE,02_STROMA,1
DINOv2,89,07_ADIPOSE,03_COMPLEX,0
DINOv2,89,07_ADIPOSE,04_LYMPHO,0
DINOv2,89,07_ADIPOSE,05_DEBRIS,8
DINOv2,89,07_ADIPOSE,06_MUCOSA,4
DINOv2,89,07_ADIPOSE,07_ADIPOSE,605
DINOv2,89,07_ADIPOSE,08_EMPTY,6
DINOv2,89,08_EMPTY,01_TUMOR,0
DINOv2,89,08_EMPTY,02_STROMA,0
DINOv2,89,08_EMPTY,03_COMPLEX,0
DINOv2,89,08_EMPTY,04_LYMPHO,0
DINOv2,89,08_EMPTY,05_DEBRIS,24
DINOv2,89,08_EMPTY,06_MUCOSA,0
DINOv2,89,08_EMPTY,07_ADIPOSE,148
DINOv2,89,08_EMPTY,08_EMPTY,453
DINOv2,101,01_TUMOR,01_TUMOR,556
DINOv2,101,01_TUMOR,02_STROMA,5
DINOv2,101,01_TUMOR,03_COMPLEX,13
DINOv2,101,01_TUMOR,04_LYMPHO,17
DINOv2,101,01_TUMOR,05_DEBRIS,19
DINOv2,101,01_TUMOR,06_MUCOSA,13
DINOv2,101,01_TUMOR,07_ADIPOSE,0
DINOv2,101,01_TUMOR,08_EMPTY,2
DINOv2,101,02_STROMA,01_TUMOR,9
DINOv2,101,02_STROMA,02_STROMA,406
DINOv2,101,02_STROMA,03_COMPLEX,144
DINOv2,101,02_STROMA,04_LYMPHO,1
DINOv2,101,02_STROMA,05_DEBRIS,62
DINOv2,101,02_STROMA,06_MUCOSA,3
DINOv2,101,02_STROMA,07_ADIPOSE,0
DINOv2,101,02_STROMA,08_EMPTY,0
DINOv2,101,03_COMPLEX,01_TUMOR,32
DINOv2,101,03_COMPLEX,02_STROMA,101
DINOv2,101,03_COMPLEX,03_COMPLEX,414
DINOv2,101,03_COMPLEX,04_LYMPHO,66
DINOv2,101,03_COMPLEX,05_DEBRIS,8
DINOv2,101,03_COMPLEX,06_MUCOSA,4
DINOv2,101,03_COMPLEX,07_ADIPOSE,0
DINOv2,101,03_COMPLEX,08_EMPTY,0
DINOv2,101,04_LYMPHO,01_TUMOR,4
DINOv2,101,04_LYMPHO,02_STROMA,5
DINOv2,101,04_LYMPHO,03_COMPLEX,163
DINOv2,101,04_LYMPHO,04_LYMPHO,444
DINOv2,101,04_LYMPHO,05_DEBRIS,8
DINOv2,101,04_LYMPHO,06_MUCOSA,1
DINOv2,101,04_LYMPHO,07_ADIPOSE,0
DINOv2,101,04_LYMPHO,08_EMPTY,0
DINOv2,101,05_DEBRIS,01_TUMOR,92
DINOv2,101,05_DEBRIS,02_STROMA,219
DINOv2,101,05_DEBRIS,03_COMPLEX,10
DINOv2,101,05_DEBRIS,04_LYMPHO,17
DINOv2,101,05_DEBRIS,05_DEBRIS,259
DINOv2,101,05_DEBRIS,06_MUCOSA,1
DINOv2,101,05_DEBRIS,07_ADIPOSE,17
DINOv2,101,05_DEBRIS,08_EMPTY,10
DINOv2,101,06_MUCOSA,01_TUMOR,20
DINOv2,101,06_MUCOSA,02_STROMA,0
DINOv2,101,06_MUCOSA,03_COMPLEX,18
DINOv2,101,06_MUCOSA,04_LYMPHO,5
DINOv2,101,06_MUCOSA,05_DEBRIS,0
DINOv2,101,06_MUCOSA,06_MUCOSA,581
DINOv2,101,06_MUCOSA,07_ADIPOSE,1
DINOv2,101,06_MUCOSA,08_EMPTY,0
DINOv2,101,07_ADIPOSE,01_TUMOR,0
DINOv2,101,07_ADIPOSE,02_STROMA,0
DINOv2,101,07_ADIPOSE,03_COMPLEX,0
DINOv2,101,07_ADIPOSE,04_LYMPHO,0
DINOv2,101,07_ADIPOSE,05_DEBRIS,10
DINOv2,101,07_ADIPOSE,06_MUCOSA,7
DINOv2,101,07_ADIPOSE,07_ADIPOSE,601
DINOv2,101,07_ADIPOSE,08_EMPTY,7
DINOv2,101,08_EMPTY,01_TUMOR,0
DINOv2,101,08_EMPTY,02_STROMA,0
DINOv2,101,08_EMPTY,03_COMPLEX,0
DINOv2,101,08_EMPTY,04_LYMPHO,0
DINOv2,101,08_EMPTY,05_DEBRIS,13
DINOv2,101,08_EMPTY,06_MUCOSA,0
DINOv2,101,08_EMPTY,07_ADIPOSE,116
DINOv2,101,08_EMPTY,08_EMPTY,496
DINOv2,131,01_TUMOR,01_TUMOR,536
DINOv2,131,01_TUMOR,02_STROMA,6
DINOv2,131,01_TUMOR,03_COMPLEX,15
DINOv2,131,01_TUMOR,04_LYMPHO,21
DINOv2,131,01_TUMOR,05_DEBRIS,28
DINOv2,131,01_TUMOR,06_MUCOSA,17
DINOv2,131,01_TUMOR,07_ADIPOSE,0
DINOv2,131,01_TUMOR,08_EMPTY,2
DINOv2,131,02_STROMA,01_TUMOR,3
DINOv2,131,02_STROMA,02_STROMA,427
DINOv2,131,02_STROMA,03_COMPLEX,139
DINOv2,131,02_STROMA,04_LYMPHO,1
DINOv2,131,02_STROMA,05_DEBRIS,49
DINOv2,131,02_STROMA,06_MUCOSA,6
DINOv2,131,02_STROMA,07_ADIPOSE,0
DINOv2,131,02_STROMA,08_EMPTY,0
DINOv2,131,03_COMPLEX,01_TUMOR,26
DINOv2,131,03_COMPLEX,02_STROMA,125
DINOv2,131,03_COMPLEX,03_COMPLEX,376
DINOv2,131,03_COMPLEX,04_LYMPHO,84
DINOv2,131,03_COMPLEX,05_DEBRIS,10
DINOv2,131,03_COMPLEX,06_MUCOSA,4
DINOv2,131,03_COMPLEX,07_ADIPOSE,0
DINOv2,131,03_COMPLEX,08_EMPTY,0
DINOv2,131,04_LYMPHO,01_TUMOR,5
DINOv2,131,04_LYMPHO,02_STROMA,7
DINOv2,131,04_LYMPHO,03_COMPLEX,138
DINOv2,131,04_LYMPHO,04_LYMPHO,469
DINOv2,131,04_LYMPHO,05_DEBRIS,6
DINOv2,131,04_LYMPHO,06_MUCOSA,0
DINOv2,131,04_LYMPHO,07_ADIPOSE,0
DINOv2,131,04_LYMPHO,08_EMPTY,0
DINOv2,131,05_DEBRIS,01_TUMOR,79
DINOv2,131,05_DEBRIS,02_STROMA,197
DINOv2,131,05_DEBRIS,03_COMPLEX,11
DINOv2,131,05_DEBRIS,04_LYMPHO,16
DINOv2,131,05_DEBRIS,05_DEBRIS,277
DINOv2,131,05_DEBRIS,06_MUCOSA,2
DINOv2,131,05_DEBRIS,07_ADIPOSE,41
DINOv2,131,05_DEBRIS,08_EMPTY,2
DINOv2,131,06_MUCOSA,01_TUMOR,14
DINOv2,131,06_MUCOSA,02_STROMA,2
DINOv2,131,06_MUCOSA,03_COMPLEX,14
DINOv2,131,06_MUCOSA,04_LYMPHO,4
DINOv2,131,06_MUCOSA,05_DEBRIS,0
DINOv2,131,06_MUCOSA,06_MUCOSA,590
DINOv2,131,06_MUCOSA,07_ADIPOSE,1
DINOv2,131,06_MUCOSA,08_EMPTY,0
DINOv2,131,07_ADIPOSE,01_TUMOR,0
DINOv2,131,07_ADIPOSE,02_STROMA,0
DINOv2,131,07_ADIPOSE,03_COMPLEX,0
DINOv2,131,07_ADIPOSE,04_LYMPHO,0
DINOv2,131,07_ADIPOSE,05_DEBRIS,7
DINOv2,131,07_ADIPOSE,06_MUCOSA,7
DINOv2,131,07_ADIPOSE,07_ADIPOSE,603
DINOv2,131,07_ADIPOSE,08_EMPTY,8
DINOv2,131,08_EMPTY,01_TUMOR,0
DINOv2,131,08_EMPTY,02_STROMA,0
DINOv2,131,08_EMPTY,03_COMPLEX,0
DINOv2,131,08_EMPTY,04_LYMPHO,0
DINOv2,131,08_EMPTY,05_DEBRIS,23
