model,seed,case_id,images,accuracy
UNI,57,CRC-Prim-HE-07,503,0.8469184890656064
UNI,57,CRC-Prim-HE-08,389,0.5269922879177378
UNI,57,CRC-Prim-HE-09,342,0.7456140350877193
UNI,57,CRC-Prim-HE-10,238,0.9831932773109243
UNI,73,CRC-Prim-HE-01,401,0.9625935162094763
UNI,73,CRC-Prim-HE-02,284,0.8661971830985915
UNI,73,CRC-Prim-HE-03,740,0.8027027027027027
UNI,73,CRC-Prim-HE-04,381,0.905511811023622
UNI,73,CRC-Prim-HE-05,661,0.848714069591528
UNI,73,CRC-Prim-HE-06,1061,0.6786050895381716
UNI,73,CRC-Prim-HE-07,503,0.852882703777336
UNI,73,CRC-Prim-HE-08,389,0.5167095115681234
UNI,73,CRC-Prim-HE-09,342,0.804093567251462
UNI,73,CRC-Prim-HE-10,238,0.9621848739495799
UNI,89,CRC-Prim-HE-01,401,0.970074812967581
UNI,89,CRC-Prim-HE-02,284,0.852112676056338
UNI,89,CRC-Prim-HE-03,740,0.8067567567567567
UNI,89,CRC-Prim-HE-04,381,0.9081364829396326
UNI,89,CRC-Prim-HE-05,661,0.8335854765506808
UNI,89,CRC-Prim-HE-06,1061,0.649387370405278
UNI,89,CRC-Prim-HE-07,503,0.8389662027833003
UNI,89,CRC-Prim-HE-08,389,0.5167095115681234
UNI,89,CRC-Prim-HE-09,342,0.804093567251462
UNI,89,CRC-Prim-HE-10,238,0.9663865546218487
UNI,101,CRC-Prim-HE-01,401,0.970074812967581
UNI,101,CRC-Prim-HE-02,284,0.8908450704225352
UNI,101,CRC-Prim-HE-03,740,0.8162162162162162
UNI,101,CRC-Prim-HE-04,381,0.9133858267716536
UNI,101,CRC-Prim-HE-05,661,0.8456883509833586
UNI,101,CRC-Prim-HE-06,1061,0.6352497643732328
UNI,101,CRC-Prim-HE-07,503,0.8469184890656064
UNI,101,CRC-Prim-HE-08,389,0.5141388174807198
UNI,101,CRC-Prim-HE-09,342,0.7865497076023392
UNI,101,CRC-Prim-HE-10,238,0.9705882352941176
UNI,131,CRC-Prim-HE-01,401,0.9625935162094763
UNI,131,CRC-Prim-HE-02,284,0.8838028169014085
UNI,131,CRC-Prim-HE-03,740,0.8094594594594594
UNI,131,CRC-Prim-HE-04,381,0.9186351706036745
UNI,131,CRC-Prim-HE-05,661,0.8547655068078669
UNI,131,CRC-Prim-HE-06,1061,0.8312912346842601
UNI,131,CRC-Prim-HE-07,503,0.8508946322067594
UNI,131,CRC-Prim-HE-08,389,0.5347043701799485
UNI,131,CRC-Prim-HE-09,342,0.8099415204678363
UNI,131,CRC-Prim-HE-10,238,0.9789915966386554
UNI,151,CRC-Prim-HE-01,401,0.9750623441396509
UNI,151,CRC-Prim-HE-02,284,0.9084507042253521
UNI,151,CRC-Prim-HE-03,740,0.7824324324324324
UNI,151,CRC-Prim-HE-04,381,0.9002624671916011
UNI,151,CRC-Prim-HE-05,661,0.8547655068078669
UNI,151,CRC-Prim-HE-06,1061,0.7681432610744581
UNI,151,CRC-Prim-HE-07,503,0.852882703777336
UNI,151,CRC-Prim-HE-08,389,0.5089974293059126
UNI,151,CRC-Prim-HE-09,342,0.7953216374269005
UNI,151,CRC-Prim-HE-10,238,0.9747899159663865
UNI,181,CRC-Prim-HE-01,401,0.9775561097256857
UNI,181,CRC-Prim-HE-02,284,0.9084507042253521
UNI,181,CRC-Prim-HE-03,740,0.8162162162162162
UNI,181,CRC-Prim-HE-04,381,0.916010498687664
UNI,181,CRC-Prim-HE-05,661,0.8577912254160364
UNI,181,CRC-Prim-HE-06,1061,0.7502356267672008
UNI,181,CRC-Prim-HE-07,503,0.8489065606361829
UNI,181,CRC-Prim-HE-08,389,0.5089974293059126
UNI,181,CRC-Prim-HE-09,342,0.7923976608187134
UNI,181,CRC-Prim-HE-10,238,0.9831932773109243
