excluded_source_group,retained_source_groups,estimate,cohort_name,analysis_family,target_role,method_family,perturbation,grid_label,metric,model_a,model_b
CRC-Prim-HE-04,9,0.5514564511487994,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_5_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-05,9,0.5349785240517868,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_5_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-06,9,0.40588705313762635,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_5_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-07,9,0.5569158734905165,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_5_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-08,9,0.35283210247617824,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_5_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-09,9,0.5800953166219845,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_5_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-10,9,0.5874581668804426,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_5_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-01,9,0.20647419252847266,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_10_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-02,9,0.22993917410329534,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_10_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-03,9,0.2689096832313359,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_10_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-04,9,0.22544807122054708,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_10_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-05,9,0.23223586339939972,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_10_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-06,9,0.2066051212725269,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_10_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-07,9,0.40114199942405565,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_10_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-08,9,-0.003926958303682775,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_10_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-09,9,0.25027511739568986,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_10_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-10,9,0.20228607498054324,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_10_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-01,9,-0.667719175484733,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_20_relative_target_margin_reduction,FrozenResNet18,ResNet18
