scope,model,seed,fold,image_count,class_coverage,source_group_count,accuracy,source_macro_accuracy,balanced_accuracy,macro_f1,cross_entropy_loss,test_loss
fold,CNN,73,3,381,6,1,0.7532808398950132,0.7532808398950132,0.7536019326513492,0.566440978940979,0.610909218912767,0.610909218912767
fold,CNN,73,4,661,7,1,0.7549167927382754,0.7549167927382754,0.6756279456502893,0.5821571933173899,0.821906537513772,0.821906537513772
fold,CNN,73,5,1061,8,1,0.37983034872761545,0.37983034872761545,0.7562012670565301,0.6114071942546393,1.4427839686880382,1.4427839686880382
fold,CNN,73,6,503,7,1,0.6719681908548708,0.6719681908548708,0.6882316498906136,0.521847235797512,1.1433027884528932,1.1433027884528932
fold,CNN,73,7,389,6,1,0.45758354755784064,0.45758354755784064,0.781975312806316,0.4484754792246081,1.4540017205843414,1.4540017205843414
fold,CNN,73,8,342,6,1,0.5467836257309941,0.5467836257309941,0.6046587349643376,0.4029661417937197,2.3012026968368486,2.3012026968368486
fold,CNN,73,9,238,7,1,0.8907563025210085,0.8907563025210085,0.8646476899642072,0.7767714105376062,0.31420083362949863,0.31420083362949863
aggregate_oof,CNN,89,-1,5000,8,10,0.6226,0.6596818757884412,0.6226,0.590625778406734,0.9881342515037903,0.9881342515037903
fold,CNN,89,0,401,6,1,0.8254364089775561,0.8254364089775561,0.6424344310373722,0.4126899859724706,0.3681075447813516,0.3681075447813516
fold,CNN,89,1,284,6,1,0.5845070422535211,0.5845070422535211,0.4219273496737788,0.22415049826362676,1.2004916109381651,1.2004916109381651
fold,CNN,89,2,740,7,1,0.6513513513513514,0.6513513513513514,0.5620138586525141,0.48329535159133963,0.936055145580933,0.936055145580933
fold,CNN,89,3,381,6,1,0.7139107611548556,0.7139107611548556,0.727914501421708,0.5407335753795828,0.7678758320024168,0.7678758320024168
fold,CNN,89,4,661,7,1,0.7322239031770046,0.7322239031770046,0.6714422980932415,0.5647367633971322,0.7353359859632861,0.7353359859632861
fold,CNN,89,5,1061,8,1,0.40150801131008484,0.40150801131008484,0.7982151559454191,0.6680898299565039,1.5351983729527354,1.5351983729527354
fold,CNN,89,6,503,7,1,0.6461232604373758,0.6461232604373758,0.6325031447803581,0.5537901321593035,0.7396931008871118,0.7396931008871118
fold,CNN,89,7,389,6,1,0.4730077120822622,0.4730077120822622,0.7858255801859952,0.46936178347307916,1.390263531684937,1.390263531684937
fold,CNN,89,8,342,6,1,0.6695906432748538,0.6695906432748538,0.6826533035636201,0.4943866732898446,1.0436396916662534,1.0436396916662534
fold,CNN,89,9,238,7,1,0.8991596638655462,0.8991596638655462,0.8804093162521492,0.7745497749061485,0.3452669591860426,0.3452669591860426
aggregate_oof,CNN,101,-1,5000,8,10,0.6278,0.669770445925865,0.6278,0.5911226580438531,0.8283321838362848,0.8283321838362848
fold,CNN,101,0,401,6,1,0.6783042394014963,0.6783042394014963,0.5339981006647674,0.3514373797114551,0.7736031338539467,0.7736031338539467
fold,CNN,101,1,284,6,1,0.6267605633802817,0.6267605633802817,0.4239797997609671,0.2425218213619208,0.8594944125155904,0.8594944125155904
fold,CNN,101,2,740,7,1,0.6432432432432432,0.6432432432432432,0.6781114222290692,0.55894951706063,0.9205717133970817,0.9205717133970817
fold,CNN,101,3,381,6,1,0.6745406824146981,0.6745406824146981,0.7967284374285061,0.5996152438349633,0.7945909635587977,0.7945909635587977
